"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1489","SEA-001 - User should be able to search for an existing product","webkit","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
"","853","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","4061","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","5572","LG-001 - User should login successfully with valid credentials","webkit","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","1140","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","999","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
"","1049","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","622","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","698","LG-003 - User should not be able to login with empty username","webkit","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","803","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","1144","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1093","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","522","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","1321","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","846","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","1572","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1604","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1614","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","1036","LG-004 - User should not be able to login with invalid username","webkit","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","690","LG-003 - User should not be able to login with empty username","firefox","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","985","LG-005 - User should not be able to login with invalid password","firefox","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","773","LG-005 - User should not be able to login with invalid password","chromium","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","807","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","1102","LG-004 - User should not be able to login with invalid username","firefox","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","712","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-14","passed","2026-09-14","Register Tests","register.spec.ts","",""
"","1146","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","848","LG-002 - User should not be able to login with empty password","firefox","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","1653","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
"","852","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","877","LG-002 - User should not be able to login with empty password","webkit","2026-09-14","passed","2026-09-14","Login Tests","login.spec.ts","",""
"","1417","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-14","passed","2026-09-14","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","867","SEA-001 - User should be able to search for an existing product","chromium","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
"","689","SEA-003 - User should be able to search for a product using keywords","chromium","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
"","719","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-14","passed","2026-09-14","Search Tests","search.spec.ts","",""
