"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","706","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1201","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","715","LG-003 - User should not be able to login with empty username","webkit","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","720","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","546","LG-002 - User should not be able to login with empty password","chromium","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","715","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","1206","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1287","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","676","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","1171","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","940","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","611","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-19","passed","2026-09-19","Search Tests","search.spec.ts","",""
"","872","REG-003 - User should not be able to register successfully with an empty Email Address","firefox","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","477","LG-004 - User should not be able to login with invalid username","chromium","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","3420","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","598","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","691","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","585","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1180","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","591","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2213","LG-001 - User should login successfully with valid credentials","firefox","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","586","SEA-001 - User should be able to search for an existing product","chromium","2026-09-19","passed","2026-09-19","Search Tests","search.spec.ts","",""
"","793","LG-004 - User should not be able to login with invalid username","webkit","2026-09-19","passed","2026-09-19","Login Tests","login.spec.ts","",""
"","1120","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","318","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","1156","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-19","passed","2026-09-19","Search Tests","search.spec.ts","",""
"","972","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","935","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","604","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","412","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-19","passed","2026-09-19","Register Tests","register.spec.ts","",""
"","1444","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1620","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-19","passed","2026-09-19","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
