"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1810","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2034","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","736","LG-006 - User should not be able to log in with credentials that have not been registered","chromium","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","975","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","1251","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","1018","LG-004 - User should not be able to login with invalid username","chromium","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1267","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","885","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","1269","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","2712","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1274","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1628","LG-001 - User should login successfully with valid credentials","chromium","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1350","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","356","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","883","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1721","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1296","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1635","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1368","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1300","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1116","SEA-001 - User should be able to search for an existing product","chromium","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","835","LG-002 - User should not be able to login with empty password","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","2209","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","802","LG-004 - User should not be able to login with invalid username","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1275","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","6094","LG-001 - User should login successfully with valid credentials","webkit","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1009","LG-005 - User should not be able to login with invalid password","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1431","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1148","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","1459","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","1276","LG-005 - User should not be able to login with invalid password","webkit","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1005","LG-003 - User should not be able to login with empty username","webkit","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","754","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-18","passed","2026-09-18","Search Tests","search.spec.ts","",""
"","836","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","661","LG-003 - User should not be able to login with empty username","chromium","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","790","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","790","LG-005 - User should not be able to login with invalid password","chromium","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","3258","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-18","passed","2026-09-18","Register Tests","register.spec.ts","",""
"","2601","LG-001 - User should login successfully with valid credentials","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
"","1062","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-18","passed","2026-09-18","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","808","LG-003 - User should not be able to login with empty username","firefox","2026-09-18","passed","2026-09-18","Login Tests","login.spec.ts","",""
