"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2316","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","557","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","676","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1579","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1330","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1485","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1024","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","609","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","840","LG-002 - User should not be able to login with empty password","webkit","2026-09-24","passed","2026-09-24","Login Tests","login.spec.ts","",""
"","880","LG-004 - User should not be able to login with invalid username","firefox","2026-09-24","passed","2026-09-24","Login Tests","login.spec.ts","",""
"","563","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1030","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","995","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-24","passed","2026-09-24","Search Tests","search.spec.ts","",""
"","2051","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1177","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-24","passed","2026-09-24","Search Tests","search.spec.ts","",""
"","564","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","741","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","4553","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1296","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1355","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-24","passed","2026-09-24","Search Tests","search.spec.ts","",""
"","467","LG-003 - User should not be able to login with empty username","chromium","2026-09-24","passed","2026-09-24","Login Tests","login.spec.ts","",""
"","1305","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","501","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1033","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1425","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-24","passed","2026-09-24","Register Tests","register.spec.ts","",""
"","1128","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-24","passed","2026-09-24","Search Tests","search.spec.ts","",""
"","773","LG-004 - User should not be able to login with invalid username","webkit","2026-09-24","passed","2026-09-24","Login Tests","login.spec.ts","",""
"","920","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-24","passed","2026-09-24","Search Tests","search.spec.ts","",""
"","567","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-24","passed","2026-09-24","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2484","LG-001 - User should login successfully with valid credentials","firefox","2026-09-24","passed","2026-09-24","Login Tests","login.spec.ts","",""
