"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1407","LG-001 - User should login successfully with valid credentials","chromium","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","756","LG-004 - User should not be able to login with invalid username","chromium","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1251","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","703","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2180","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","1081","LG-004 - User should not be able to login with invalid username","firefox","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","621","LG-002 - User should not be able to login with empty password","chromium","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1485","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","922","LG-002 - User should not be able to login with empty password","webkit","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1743","SEA-001 - User should be able to search for an existing product","webkit","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","1237","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","814","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","993","SEA-001 - User should be able to search for an existing product","chromium","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","787","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","678","LG-003 - User should not be able to login with empty username","firefox","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","375","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","1525","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1410","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","869","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1856","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1284","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2188","LG-001 - User should login successfully with valid credentials","firefox","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1553","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","993","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1529","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","1009","REG-004 - User should not be able to register successfully when city is missing","chromium","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","701","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1362","LG-005 - User should not be able to login with invalid password","webkit","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","687","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","805","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","1177","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1243","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","4341","LG-001 - User should login successfully with valid credentials","webkit","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","424","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","721","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","842","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
"","1146","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1139","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-12","passed","2026-09-12","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","988","LG-005 - User should not be able to login with invalid password","firefox","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","1245","SEA-001 - User should be able to search for an existing product","firefox","2026-09-12","passed","2026-09-12","Search Tests","search.spec.ts","",""
"","1704","LG-004 - User should not be able to login with invalid username","webkit","2026-09-12","passed","2026-09-12","Login Tests","login.spec.ts","",""
"","826","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-12","passed","2026-09-12","Register Tests","register.spec.ts","",""
