"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","956","LG-004 - User should not be able to login with invalid username","chromium","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","1092","LG-005 - User should not be able to login with invalid password","firefox","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","2202","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","987","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","822","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","820","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1230","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","996","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","1775","SEA-001 - User should be able to search for an existing product","webkit","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","729","SEA-001 - User should be able to search for an existing product","chromium","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","394","LG-003 - User should not be able to login with empty username","chromium","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","960","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","1286","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","1507","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","708","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","664","LG-002 - User should not be able to login with empty password","webkit","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","340","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-26","passed","2026-09-26","Register Tests","register.spec.ts","",""
"","2191","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","895","LG-004 - User should not be able to login with invalid username","firefox","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","948","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-26","passed","2026-09-26","Search Tests","search.spec.ts","",""
"","622","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-26","passed","2026-09-26","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1535","LG-001 - User should login successfully with valid credentials","chromium","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
"","911","LG-003 - User should not be able to login with empty username","firefox","2026-09-26","passed","2026-09-26","Login Tests","login.spec.ts","",""
