"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","873","REG-003 - User should not be able to register successfully with an empty Email Address","firefox","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","322","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","1107","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","790","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","814","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-17","passed","2026-09-17","Search Tests","search.spec.ts","",""
"","1147","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","735","LG-005 - User should not be able to login with invalid password","firefox","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","527","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","950","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","390","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","1258","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-17","passed","2026-09-17","Search Tests","search.spec.ts","",""
"","2120","LG-001 - User should login successfully with valid credentials","firefox","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","822","SEA-001 - User should be able to search for an existing product","firefox","2026-09-17","passed","2026-09-17","Search Tests","search.spec.ts","",""
"","654","LG-003 - User should not be able to login with empty username","webkit","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","1084","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","735","LG-005 - User should not be able to login with invalid password","webkit","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","554","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","1144","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2673","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","1124","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1275","LG-001 - User should login successfully with valid credentials","chromium","2026-09-17","passed","2026-09-17","Login Tests","login.spec.ts","",""
"","1045","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-17","passed","2026-09-17","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","362","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
"","820","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-17","passed","2026-09-17","Register Tests","register.spec.ts","",""
