"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1134","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","2119","LG-001 - User should login successfully with valid credentials","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1146","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","3755","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","648","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","745","LG-003 - User should not be able to login with empty username","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1121","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","341","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","1321","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1353","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","622","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1724","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","3641","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","652","LG-002 - User should not be able to login with empty password","webkit","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1206","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","407","LG-002 - User should not be able to login with empty password","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","719","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1159","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1498","LG-001 - User should login successfully with valid credentials","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","831","SEA-001 - User should be able to search for an existing product","chromium","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","390","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","486","LG-005 - User should not be able to login with invalid password","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1989","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","926","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","994","SEA-001 - User should be able to search for an existing product","firefox","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","848","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","604","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1163","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","619","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1240","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","695","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","1115","LG-004 - User should not be able to login with invalid username","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1340","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","654","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","910","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","1042","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1424","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","950","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1997","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","1239","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","586","LG-006 - User should not be able to log in with credentials that have not been registered","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","702","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","4115","LG-002 - User should not be able to login with empty password","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","819","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","766","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","811","LG-004 - User should not be able to login with invalid username","webkit","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1054","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1115","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","832","LG-005 - User should not be able to login with invalid password","firefox","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","611","LG-004 - User should not be able to login with invalid username","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","1163","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","649","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","779","LG-003 - User should not be able to login with empty username","webkit","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","703","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","766","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","605","REG-004 - User should not be able to register successfully when city is missing","chromium","2026-09-25","passed","2026-09-25","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","878","LG-005 - User should not be able to login with invalid password","webkit","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","652","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","739","SEA-003 - User should be able to search for a product using keywords","chromium","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
"","485","LG-003 - User should not be able to login with empty username","chromium","2026-09-25","passed","2026-09-25","Login Tests","login.spec.ts","",""
"","459","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-25","passed","2026-09-25","Register Tests","register.spec.ts","",""
"","1210","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-25","passed","2026-09-25","Search Tests","search.spec.ts","",""
