"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6180","LG-001 - User should login successfully with valid credentials","webkit","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","765","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","887","REG-004 - User should not be able to register successfully when city is missing","chromium","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","977","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1352","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1739","SEA-001 - User should be able to search for an existing product","webkit","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","618","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","1188","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1278","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1012","LG-005 - User should not be able to login with invalid password","webkit","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","592","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","1404","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1112","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","902","LG-002 - User should not be able to login with empty password","webkit","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","553","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","1266","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1016","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1603","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","4953","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","939","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","640","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1270","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1265","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1509","LG-001 - User should login successfully with valid credentials","chromium","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","962","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","1282","SEA-001 - User should be able to search for an existing product","firefox","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1197","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-10","passed","2026-09-10","Search Tests","search.spec.ts","",""
"","1284","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1097","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","887","LG-003 - User should not be able to login with empty username","webkit","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","652","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1923","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-10","passed","2026-09-10","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","895","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","2285","LG-001 - User should login successfully with valid credentials","firefox","2026-09-10","passed","2026-09-10","Login Tests","login.spec.ts","",""
"","876","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","643","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
"","1011","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-10","passed","2026-09-10","Register Tests","register.spec.ts","",""
