"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1053","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","1209","LG-004 - User should not be able to login with invalid username","firefox","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","1425","LG-004 - User should not be able to login with invalid username","webkit","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","936","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","834","LG-005 - User should not be able to login with invalid password","chromium","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","2307","LG-001 - User should login successfully with valid credentials","firefox","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","879","LG-005 - User should not be able to login with invalid password","firefox","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","653","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","1333","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1381","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","783","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","709","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-16","passed","2026-09-16","Search Tests","search.spec.ts","",""
"","1324","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","962","LG-002 - User should not be able to login with empty password","webkit","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","2278","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","859","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","1253","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-16","passed","2026-09-16","Search Tests","search.spec.ts","",""
"","2080","LG-001 - User should login successfully with valid credentials","chromium","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","1189","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1592","SEA-001 - User should be able to search for an existing product","webkit","2026-09-16","passed","2026-09-16","Search Tests","search.spec.ts","",""
"","985","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","949","LG-003 - User should not be able to login with empty username","webkit","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","1469","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
"","920","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","624","LG-004 - User should not be able to login with invalid username","chromium","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","1359","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-16","passed","2026-09-16","Search Tests","search.spec.ts","",""
"","655","LG-003 - User should not be able to login with empty username","chromium","2026-09-16","passed","2026-09-16","Login Tests","login.spec.ts","",""
"","973","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1390","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-16","passed","2026-09-16","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","840","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-16","passed","2026-09-16","Register Tests","register.spec.ts","",""
