"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1059","REG-004 - User should not be able to register successfully when mobileNumber is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","738","REG-004 - User should not be able to register successfully when city is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","649","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","890","REG-003 - User should not be able to register successfully with an empty Email Address","firefox","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","2013","REG-004 - User should not be able to register successfully when address is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1038","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1361","SEA-001 - User should be able to search for an existing product","firefox","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1251","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1078","LG-005 - User should not be able to login with invalid password","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","928","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1427","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","918","REG-004 - User should not be able to register successfully when zipcode is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","439","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1790","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1378","REG-004 - User should not be able to register successfully when city is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1323","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1441","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1120","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","757","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1455","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1117","LG-006 - User should not be able to log in with credentials that have not been registered","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","435","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1204","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1163","LG-005 - User should not be able to login with invalid password","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1400","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1228","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","885","SEA-003 - User should be able to search for a product using keywords","chromium","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1326","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1167","LG-002 - User should not be able to login with empty password","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1659","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1343","LG-004 - User should not be able to login with invalid username","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1091","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","867","REG-003 - User should not be able to register successfully with an empty Email Address","webkit","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1735","SEA-001 - User should be able to search for an existing product","webkit","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1632","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","930","LG-003 - User should not be able to login with empty username","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","833","LG-002 - User should not be able to login with empty password","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","425","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","2306","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","6180","LG-001 - User should login successfully with valid credentials","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1067","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1766","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","917","LG-003 - User should not be able to login with empty username","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","771","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1124","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1094","SEA-001 - User should be able to search for an existing product","chromium","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1593","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1817","LG-001 - User should login successfully with valid credentials","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","2115","LG-001 - User should login successfully with valid credentials","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","734","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","897","REG-004 - User should not be able to register successfully when firstName is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1695","SEA-003 - User should be able to search for a product using keywords","webkit","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1146","LG-003 - User should not be able to login with empty username","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1174","LG-004 - User should not be able to login with invalid username","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","928","REG-006 - User should not be able to register successfully with an existing account","firefox","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1061","LG-005 - User should not be able to login with invalid password","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","2684","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","999","REG-002 - User should not be able to register successfully with an empty Name","firefox","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1121","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
"","1016","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","845","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","899","LG-002 - User should not be able to login with empty password","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1220","REG-004 - User should not be able to register successfully when firstName is missing","firefox","2026-09-22","passed","2026-09-22","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","676","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","732","REG-006 - User should not be able to register successfully with an existing account","chromium","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","4255","REG-001 - User should be able to sign up for a new account successfully","webkit","2026-09-22","passed","2026-09-22","Register Tests","register.spec.ts","",""
"","1413","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","885","LG-004 - User should not be able to login with invalid username","chromium","2026-09-22","passed","2026-09-22","Login Tests","login.spec.ts","",""
"","1226","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-22","passed","2026-09-22","Search Tests","search.spec.ts","",""
